"Candidate ID (As in the offer, 6 Digits starting with 2 or 3 )",Repo Link for the Miniproject (copy the HTTPS ),Is the Mini Project - your work evolution of your old/ new project,Category of Project [Applying the Guidelines and Process]
303037,https://github.com/7Venu/Step_in-Pgm.git,Application of process on new project,Application
2314733,https://github.com/jairadhey/minor_project_c.git,Application of process on new project,Application
268467,https://github.com/KubasadSumanth/learnDs.git,Application of process on new project,Application
313254,https://github.com/GangadharTelagareddy/MiniProjectSTEPin.git,Application of process on new project,Application
314332,https://github.com/kushaal-r/LTTS_miniproject.git,Application of process on new project,Fun/Passion Project
311148,DIB101010,Application of process on new project,Fun/Passion Project
307665,https://github.com/gopuraman/gopu-raman.git,Application of process on new project,Fun/Passion Project
303535,https://github.com/ganesh1022/Ganeshp.git,Application of process on new project,Application
303943,https://github.com/amitsahni97/Mini-Project.git,Application of process on new project,Fun/Passion Project
314186,https://github.com/prathyushapatcha/miniproject.git,Application of process on old project - Evolution,Application
314185,https://github.com/17pa1a1217/Mini-Project.git,Application of process on old project - Evolution,Application
314203,https://github.com/samikshadhoble/Ltts-project.git,Application of process on new project,Game
315229,https://github.com/Harshit-09/Billing_System.git,Application of process on new project,Application
315159,https://github.com/Divas252/mini-project.git,Application of process on new project,Game
303997,https://github.com/TejasPatil-9/Blackjack.git,Application of process on new project,Game
314665,https://github.com/rkstark98/miniproject,Application of process on new project,Game
314234,https://github.com/Ranijalaparthi16/MiniProject-c.git,Application of process on old project - Evolution,Application
313718,https://github.com/parammohith/miniproject.git,Application of process on new project,Application
313412,https://github.com/sushmireddyk/mini_project.git,Application of process on new project,Game
314282,https://github.com/sakshinitnaware/quiz.c.git,Application of process on new project,Game
313820,https://github.com/Purva112/Demo.git,Application of process on new project,Game
302808,https://github.com/deepakdanichy/Minor-Project-302808.git,Application of process on new project,Application
313628,https://github.com/AbhidhaChoudhari/MiniProject_Abhidha.git,Application of process on new project,Application
315116,https://github.com/VBharathi1234/Miniproject-c.git,Application of process on old project - Evolution,Application
314195,https://github.com/kushwahaanshika/Mini_project.git,Application of process on new project,Game
315151,https://github.com/Zualahmed/LTTS-C-project.git,Application of process on new project,Fun/Passion Project
313279,https://github.com/rajkishlay/cprogramming.git,Application of process on new project,Game
314199,https://github.com/nikitahatwar/Test.git,Application of process on new project,Game
314670,https://github.com/Amitadk22/LTTS_C_Project.git,Application of process on old project - Evolution,Application
262882,https://github.com/niku09/Demo,Application of process on new project,Game
314213,https://github.com/Bhushan2610/BhushanLTTS.git,Application of process on new project,Application
314246,https://github.com/PrajaktaZode/LTTS-Project,Application of process on new project,Application
314473,https://github.com/Sanjokta22/mini-project.git,Application of process on new project,Application
314302,https://github.com/VijayReddy1287/MiniProject.git,Application of process on new project,Application
302455,https://github.com/yasin904/miniproject.git,Application of process on new project,Application
311240,https://github.com/Sivapriyapj/Miniproject.git,Application of process on new project,Application
314667,https://github.com/salihstepup/C_pgm_Mini_project-,Application of process on new project,Fun/Passion Project
313500,https://github.com/sami-ks-ha/My-Project.git,Application of process on new project,Application
314485,https://github.com/Anuth1302/Mini-project.git,Application of process on new project,Application
303097,https://github.com/UdayKiran2100/ParkManagement_StepIn_303097,Application of process on new project,Application
310986,https://github.com/Jaswanth-Merugumala/STEP-IN-Project.git,Application of process on new project,Application
298070,https://github.com/Feroz-Shaik-17/MiniProject.git,Application of process on new project,Application
265351,https://github.com/Dhnayshree/Mini_project_C.git,Application of process on old project - Evolution,Fun/Passion Project
302976,https://github.com/Akshathakmurthy/302916.git,Application of process on new project,Application
302606,https://github.com/rajivadak/ltts_miniproject.git,Application of process on new project,Fun/Passion Project
314673,https://github.com/Manasamudiraj/LTTS-Mini-project,Application of process on new project,Application
314150,https://github.com/NAVEEN45973/MiniProjectLTTS,Application of process on old project - Evolution,Fun/Passion Project
314119,https://github.com/OntepuVani/LTTS-Mini-project,Application of process on new project,Application
268481,https://github.com/Manojnaik1/Snake-game,Application of process on new project,Game
302301,https://github.com/meghasgowda99/calendar_application_302301.git,Application of process on new project,Application
290547,https://github.com/SHARATHJ1999/Mini_Project_on_C,Application of process on new project,Fun/Passion Project
302611,https://github.com/Yaminis688/STEPIN_PROJECT.git,Application of process on new project,Application
304337,https://github.com/git170060024/LTTS-mini-project.git,Application of process on new project,Application
298379,https://github.com/pavankumar9823/miniproject.git,Application of process on new project,Fun/Passion Project
302533,https://github.com/zibbycrash/Git-Project,Application of process on new project,Fun/Passion Project
302403,https://github.com/Mohan-05/LTTS,Application of process on new project,Application
314297,https://github.com/vins215/MiniProject,Application of process on new project,Fun/Passion Project
268480,https://github.com/Keerthana-Basavaraj/Mini-Project.git,Application of process on new project,Application
303543,https://github.com/SanSha99/Mock_Project,Application of process on old project - Evolution,Game
303460,https://github.com/shrishti-1309/Library-Management-System.git,Application of process on new project,Application
314400,https://github.com/pikachu-gif/github-slideshow,Application of process on new project,Application
313505,https://github.com/rushika26/project.git,Application of process on new project,Game
314196,https://github.com/stepin314196/MiniProject,Application of process on new project,Application
298159,https://github.com/vismaya1904/project1.git,Application of process on new project,Application
